date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2026-05-04;18:07:54;Executed;"SCALAxzVJgVYbek";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;8;136,37;1.090,96;0,00;77,42;EUR
2026-04-30;22:55:31;Cancelled;"SCAL6buMPEHcoeg";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2026-04-30;21:49:33;Executed;"SCALWNHvGA9YgsA";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;7;138,00;966,00;0,00;70,76;EUR
2026-04-23;19:42:22;Cancelled;"SCALmeWxJxAuwsW";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2026-04-23;19:41:31;Executed;"SCALU7zqmFW73ag";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;13;130,49;1.696,37;0,00;102,58;EUR
2026-04-22;10:02:53;Cancelled;"SCALdCM1vXPKwSA";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2026-04-17;20:18:26;Cancelled;"SCAL3VLB1wjuE1M";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2026-04-17;13:36:12;Cancelled;"SCALEQJGoM8rYea";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2026-04-17;13:30:57;Executed;"SCALdfjZJpET2wW";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;13;129,57;1.684,41;0,00;89,15;EUR
2026-04-17;13:30:26;Cancelled;"SCAL6Cqr6aPTQcR";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2026-04-16;22:01:10;Cancelled;"SCALiZfvHnn4TGM";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2026-04-14;16:16:00;Cancelled;"SCALuP3G7sLP8jW";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2026-04-14;16:15:54;Cancelled;"SCALTJAd7irR2PG";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2026-04-14;15:42:15;Executed;"SCALcvfXYZ79ZRB";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;13;122,02;1.586,26;0,00;52,13;EUR
2026-04-13;19:06:34;Cancelled;"SCALY3SRA35qdAt";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2026-04-10;11:59:29;Cancelled;"SCALkLMUyWe7Npc";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2026-04-08;13:24:24;Cancelled;"SCALbwnrkEWnMQr";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2026-04-08;13:23:57;Cancelled;"SCALF6nPfmZb21m";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2026-04-08;13:02:30;Executed;"SCALKQbNFKrcft2";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;17;116,27;1.976,59;0,00;19,10;EUR
2026-04-08;12:10:46;Cancelled;"SCALbcA7EsqepBQ";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2026-03-30;08:28:05;Cancelled;"SCALL3skzcDhiEw";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2026-03-30;08:27:14;Executed;"SCALgqxk9WJvM3M";"WisdomTree S&P 500 3x Daily Leveraged";Security;Buy;IE00B7Y34M31;25;99,675;-2.491,875;0,00;0,00;EUR
2026-03-23;10:11:58;Cancelled;"SCAL9BhMCanyodH";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2026-03-23;10:11:22;Executed;"SCALy3AM1iGgni5";"WisdomTree S&P 500 3x Daily Leveraged";Security;Buy;IE00B7Y34M31;24;103,57;-2.485,68;0,00;0,00;EUR
2026-03-09;08:15:50;Executed;"SCALaGpQ8DScKiT";"WisdomTree S&P 500 3x Daily Leveraged";Security;Buy;IE00B7Y34M31;22;112,01;-2.464,22;0,00;0,00;EUR
2026-01-12;11:41:13;Executed;"SCALBekCoDMpWCw";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;8;128,38;1.027,04;0,00;0,00;EUR
2026-01-12;11:40:52;Cancelled;"SCALYp2e8a46RGd";"WisdomTree S&P 500 3x Daily Leveraged";Security;Sell;IE00B7Y34M31;0;0,00;0,00;0,00;0,00;EUR
2025-10-09;14:03:47;Executed;"SCALdCWUkPC27uT";"WisdomTree S&P 500 3x Daily Leveraged";Security;Buy;IE00B7Y34M31;8;124,44;-995,52;0,00;0,00;EUR
