Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
11.02.2026;125,710;128,740;125,350;125,760;EUR;133
12.02.2026;126,710;127,240;119,240;120,260;EUR;442
13.02.2026;119,000;122,100;118,870;121,530;EUR;742
16.02.2026;120,050;121,820;120,050;121,380;EUR;55
17.02.2026;118,020;121,680;117,780;121,680;EUR;357
18.02.2026;120,930;124,350;120,930;122,730;EUR;338
19.02.2026;122,810;124,020;120,600;121,630;EUR;509
20.02.2026;122,860;124,890;121,300;124,890;EUR;303
23.02.2026;121,000;123,810;120,650;121,230;EUR;94
24.02.2026;120,660;123,750;120,660;123,750;EUR;48
25.02.2026;122,840;125,260;122,700;125,260;EUR;628
26.02.2026;124,930;126,720;122,500;124,320;EUR;862
27.02.2026;122,460;123,850;120,540;120,540;EUR;579
02.03.2026;120,000;124,020;116,370;124,020;EUR;3648
03.03.2026;120,480;121,060;115,990;121,010;EUR;878
04.03.2026;118,030;124,800;118,030;123,720;EUR;1608
05.03.2026;121,910;123,890;119,250;120,510;EUR;230
06.03.2026;121,140;122,280;116,250;117,800;EUR;398
09.03.2026;111,210;118,470;110,870;118,470;EUR;1596
10.03.2026;118,410;121,670;118,280;120,890;EUR;130
11.03.2026;119,110;119,720;117,900;117,900;EUR;53
12.03.2026;115,780;117,930;113,740;114,720;EUR;958
13.03.2026;114,270;117,410;112,120;113,010;EUR;781
16.03.2026;114,090;116,670;113,840;115,530;EUR;1186
17.03.2026;113,640;117,820;113,640;116,790;EUR;177
18.03.2026;117,640;118,320;110,580;111,900;EUR;711
19.03.2026;110,950;111,560;108,130;109,880;EUR;1019
20.03.2026;109,590;110,680;103,810;105,940;EUR;1603
23.03.2026;103,040;112,250;101,280;108,860;EUR;1496
24.03.2026;106,820;108,910;106,430;106,570;EUR;82
25.03.2026;107,950;110,480;107,950;109,640;EUR;321
26.03.2026;107,050;108,010;104,390;105,340;EUR;295
27.03.2026;104,580;105,560;98,480;98,990;EUR;848
30.03.2026;98,155;101,090;98,155;98,730;EUR;161
31.03.2026;99,130;105,460;99,130;104,730;EUR;322
01.04.2026;107,130;109,530;106,270;107,400;EUR;962
02.04.2026;103,240;105,230;102,720;105,230;EUR;194
07.04.2026;108,000;110,950;105,130;110,080;EUR;1260
08.04.2026;115,990;117,760;114,730;115,350;EUR;1216
09.04.2026;115,380;119,240;115,230;119,240;EUR;317
10.04.2026;118,200;119,050;117,220;117,220;EUR;102
13.04.2026;114,630;120,130;114,630;120,130;EUR;75
14.04.2026;120,000;125,240;120,000;123,440;EUR;465
15.04.2026;125,000;126,630;123,710;126,610;EUR;177
16.04.2026;127,290;129,040;127,280;127,790;EUR;333
17.04.2026;128,080;134,770;128,080;133,330;EUR;375
20.04.2026;130,240;132,570;130,010;132,570;EUR;95
21.04.2026;132,670;134,570;128,880;130,830;EUR;153
22.04.2026;131,320;134,260;131,320;134,100;EUR;108
23.04.2026;131,820;134,730;129,340;131,900;EUR;172
24.04.2026;132,910;135,300;132,910;135,300;EUR;65
27.04.2026;134,820;135,760;134,820;135,000;EUR;85
28.04.2026;135,700;136,160;133,980;134,630;EUR;10
29.04.2026;134,710;134,960;133,830;133,830;EUR;14
30.04.2026;133,350;138,970;133,350;138,000;EUR;213
04.05.2026;139,010;140,210;136,370;138,270;EUR;650
05.05.2026;138,120;142,230;138,120;142,230;EUR;141
06.05.2026;142,000;145,780;141,440;145,780;EUR;283
07.05.2026;146,280;147,460;144,050;144,130;EUR;209
08.05.2026;145,660;148,780;145,660;148,780;EUR;289
