Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
20.02.2026;113,734;114,000;113,000;113,947;EUR;252468
23.02.2026;113,000;113,975;112,640;113,008;EUR;254873
24.02.2026;113,251;113,800;112,705;113,740;EUR;178780
25.02.2026;113,540;114,500;113,521;114,432;EUR;184181
26.02.2026;114,177;114,620;113,440;114,079;EUR;217348
27.02.2026;113,761;114,200;113,000;113,670;EUR;179617
02.03.2026;112,775;114,400;112,445;114,214;EUR;529579
03.03.2026;113,514;113,608;111,770;113,159;EUR;346450
04.03.2026;112,570;114,163;112,400;113,827;EUR;215422
05.03.2026;113,800;114,309;112,434;113,099;EUR;277591
06.03.2026;113,301;113,560;111,545;111,747;EUR;185013
09.03.2026;110,797;112,736;110,187;112,308;EUR;429965
10.03.2026;112,433;113,380;112,110;112,820;EUR;232303
11.03.2026;112,722;113,080;112,235;112,570;EUR;118416
12.03.2026;112,058;112,615;111,535;111,788;EUR;125709
13.03.2026;111,861;112,895;111,470;111,552;EUR;152408
16.03.2026;112,318;112,635;111,612;112,148;EUR;242253
17.03.2026;112,020;112,895;111,655;112,266;EUR;115095
18.03.2026;112,808;113,065;111,070;111,197;EUR;155047
19.03.2026;111,197;111,257;109,364;110,024;EUR;311513
20.03.2026;110,044;110,355;107,535;108,399;EUR;433123
23.03.2026;107,516;111,180;106,640;109,081;EUR;576168
24.03.2026;109,120;109,607;108,360;109,485;EUR;183478
25.03.2026;109,572;110,454;109,500;110,093;EUR;183543
26.03.2026;109,781;109,820;108,335;108,607;EUR;155722
27.03.2026;108,868;108,934;106,457;106,675;EUR;209803
30.03.2026;106,920;108,597;106,750;107,170;EUR;201315
31.03.2026;108,000;109,487;107,600;109,288;EUR;158999
01.04.2026;109,595;110,642;109,529;110,255;EUR;400860
02.04.2026;108,696;110,800;108,600;110,602;EUR;301549
07.04.2026;110,632;111,080;109,395;110,535;EUR;461043
08.04.2026;112,989;113,148;112,104;112,889;EUR;400417
09.04.2026;112,850;113,247;112,165;113,033;EUR;155974
10.04.2026;113,211;113,300;112,585;112,763;EUR;134514
13.04.2026;112,000;113,500;112,000;113,457;EUR;230967
14.04.2026;113,438;114,500;113,290;114,487;EUR;200012
15.04.2026;114,400;115,038;114,215;114,945;EUR;249265
16.04.2026;115,072;115,491;114,975;115,285;EUR;176505
17.04.2026;115,211;116,965;115,211;116,778;EUR;254253
20.04.2026;116,089;116,545;115,886;116,394;EUR;349701
21.04.2026;116,643;116,960;115,758;115,933;EUR;164949
22.04.2026;116,362;116,917;116,110;116,846;EUR;117082
23.04.2026;116,289;117,000;115,750;116,531;EUR;183590
24.04.2026;116,642;117,080;116,355;116,940;EUR;129275
27.04.2026;116,993;117,102;116,505;117,026;EUR;162794
28.04.2026;117,100;117,220;116,250;116,616;EUR;132833
29.04.2026;116,961;116,995;116,033;116,630;EUR;116837
30.04.2026;116,455;117,799;116,093;117,616;EUR;137799
04.05.2026;118,150;118,200;117,100;117,494;EUR;402920
05.05.2026;117,836;118,651;117,644;118,428;EUR;287985
06.05.2026;118,791;120,048;118,606;119,940;EUR;204371
07.05.2026;120,034;120,221;118,950;119,355;EUR;265699
08.05.2026;119,576;119,724;119,230;119,555;EUR;135051
11.05.2026;119,814;120,100;119,350;119,830;EUR;176786
12.05.2026;119,790;119,991;119,000;119,932;EUR;148228
13.05.2026;120,108;121,095;119,870;120,743;EUR;172499
14.05.2026;120,810;122,180;120,810;121,826;EUR;107258
15.05.2026;121,500;121,591;120,580;120,689;EUR;272734
18.05.2026;120,153;121,000;119,700;120,597;EUR;228206
19.05.2026;120,380;121,055;120,115;120,396;EUR;129118
